Date,Supplier,Description,Transaction value
30/03/2018,ECG Facilities Service,Facilities Management Charge,35758
30/04/2018,ECG Facilities Service,Causewayside IT Work,25634.7
30/04/2018,ECG Facilities Service,Facilities Management Charge,35757.91
22/06/2018,ECG Facilities Service,Facilities Management Charge,35757.91
30/06/2018,ECG Facilities Service,Facilities Management Charge,35757.91
18/07/2018,ECG Facilities Service,Facilities Management Charge,35757.91
13/09/2018,ECG Facilities Service,Facilities Management Charge,35757.91
30/09/2018,ECG Facilities Service,Facilities Management Charge,35757.91
24/10/2018,ECG Facilities Service,Facilities Management Charge,35757.91
26/11/2018,ECG Facilities Service,Facilities Management Charge,35757.91
14/01/2019,ECG Facilities Service,Facilities Management Charge,35757.91
31/01/2019,ECG Facilities Service,Causewayside Work,32517.45
31/01/2019,ECG Facilities Service,Facilities Management Charge,35757.91
27/02/2019,ECG Facilities Service,Facilities Management Charge,35757.91
31/03/2019,ECG Facilities Service,Facilities Management Charge,35757.91
31/03/2019,ECG Facilities Service,George IV Bridge Work,37320.15
30/04/2019,ECG Facilities Service,Facilities Management Charge,36907.14
04/06/2019,ECG Facilities Service,Facilities Management Charge,36907.14
25/06/2019,ECG Facilities Service,Facilities Management Charge,36907.14
31/07/2019,ECG Facilities Service,Facilities Management Charge,36907.14
27/08/2019,ECG Facilities Service,Facilities Management Charge,36907.14
25/09/2019,ECG Facilities Service,Facilities Management Charge,34021.61
10/10/2019,ECG Facilities Service,"CB Bolier Replacement (1),USP Batteries,Gutter Works & Cleaning of pigeon fouling",112794
23/10/2019,ECG Facilities Service,"CB Bolier Replacement (2),Facilities Management Charge October 19, intumescent strips & unblocking toilets",103462.39
04/10/2019,ECG Facilities Service,Facilities Management Charge September 19,44288.57
27/11/2019,ECG Facilities Service,"Paymnet for 31 invoices including Facilities Managemenr Charge Nov 19, Lift Repairs, replacement refrigerant gas detection system & data cabling and install of WIFI devices",104526.09
14/01/2020,EDF,Electricity,25172.34
11/02/2020,EDF,Electricity,25484.03
25/09/2019,EDF,Electricity,33122.06
15/10/2019,EDF,Electricity,26805.74
19/11/2019,EDF,Electricity Oct 2019 3 buildings,26660.9
16/08/2017,Ex Libris,IT equipment,76610
22/06/2018,Ex Libris,IT equipment,39000
16/07/2018,Ex Libris,IT equipment,80057.83
21/11/2018,Ex Libris,IT equipment,39000
21/11/2018,Ex Libris,IT equipment,53327.09
23/04/2019,Ex Libris,IT equipment,129584.58
12/09/2016,Flexiform,Kelvin Hall,42623
09/10/2017,Frost And Sullivan Ltd,Literary & Archival Items,28125
20/09/2018,FROST AND SULLIVAN LTD,Literary & Archival Items,28125
27/08/2019,FROST AND SULLIVAN LTD,Literary & Archival Items,28687.5
30/06/2016,Glasgow City Council,Kelvin Hall,1700000
30/11/2017,Glasgow City Council,Kelvin Hall,42345
14/05/2018,Glasgow City Council,Kelvin Hall,90946
13/05/2019,GLASGOW LIFE,Kelvin Hall Service Charge,120335
10/10/2019,GLASGOW LIFE,Service Charges Kelvin Hall,39100.16
27/11/2019,GLASGOW LIFE,Service Charges Kelvin Hall 01/07/19-30/09/19,41541.47
31/03/2019,HP INC UK LTD,IT equipment,40746
24/04/2017,Insight Direct (UK) Ltd,IT equipment,56768
31/08/2017,Insight Direct (UK) Ltd,Causewayside Refurbishment,68222
31/03/2019,Insight Direct (UK) Ltd,IT equipment,56223.35
18/09/2019,INSTITUTE OF  CONSERVATION,Bursary Recruitment and Professional Services costs for intern,26805.2
09/10/2017,JISC Services Ltd ,Literary & Archival Items,43481
19/09/2016,JISC Services Ltd ,Literary & Archival Items,42629
04/10/2019,JISC Services Ltd ,Annual Subscription,25731
09/05/2016,John Graham Construction Ltd,Causewayside Refurbishment,64361
16/05/2016,John Graham Construction Ltd,Causewayside Refurbishment,365344
10/06/2016,John Graham Construction Ltd,Causewayside Refurbishment,381803
11/07/2016,John Graham Construction Ltd,Causewayside Refurbishment,139845
15/08/2016,John Graham Construction Ltd,Causewayside Refurbishment,196807
05/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,36359
12/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,228689
26/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,28378
10/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,303999
31/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,74245
14/11/2016,John Graham Construction Ltd,Causewayside Refurbishment,362326
12/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,385310
30/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,253618
30/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,45127
07/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,52404
13/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,272390
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,31781
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,198048
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,222090
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,63971
15/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,245381
29/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,74806
31/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,164691
24/07/2017,John Graham Construction Ltd,Causewayside Refurbishment,27926
24/07/2017,John Graham Construction Ltd,Causewayside Refurbishment,212690
16/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,59021
16/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,136379
31/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,36313
11/09/2017,John Graham Construction Ltd,Causewayside Refurbishment,189483
23/10/2017,John Graham Construction Ltd,Causewayside Refurbishment,151659
06/11/2017,John Graham Construction Ltd,Causewayside Refurbishment,134208
11/12/2017,John Graham Construction Ltd,Causewayside Refurbishment,159275
15/01/2018,John Graham Construction Ltd,Causewayside Refurbishment,123244
05/02/2018,John Graham Construction Ltd,Causewayside Refurbishment,102659
07/03/2018,John Graham Construction Ltd,Causewayside Refurbishment,89559
11/06/2018,John Graham Construction Ltd,Causewayisde Refurbishment,127753.31
14/01/2020,LM Information Delivery UK LTD,Payment of 18 separate invoice for Online/Print subscriptions Jan 20-Dec 20,27822.54
25/09/2019,LOTHIAN HEATING SERVICES LTD,Payment 1 - GB Boiler replacement ,57114.18
05/11/2019,LOTHIAN HEATING SERVICES LTD,GB Bolier Replacement - application 2,45728.9
21/04/2016,M & J Ballantyne Ltd,George IV Bridge Work,35098
27/11/2017,Maggs Bros Ltd,Literary & Archival Items,26500
31/08/2017,Mark Finn Laboratory,George IV Bridge Work,53884
14/01/2019,m-hance,IT Work,33164.4
26/08/2019,MICROBOX GmbH,Digital equipment,65881.58
30/04/2017,Morris & Spottiswood Ltd,George IV Bridge Work,63716
29/05/2017,Morris & Spottiswood Ltd,George IV Bridge Work,56448
31/03/2017,Nicholson Bros(Electrical Contractors) Ltd,Causewayside Refurbishment,33666
31/03/2017,NLS Foundation,Grant Payment,177500
26/04/2016,Private Sale,Literary & Archival Items,30000
08/12/2016,Private Sale,Literary & Archival Items,87500
06/03/2017,Private Sale,Literary & Archival Items,72500
31/03/2017,Private Sale,Literary & Archival Items,3422500
30/03/2018,Private Sale,Literary & Archival Items,100000
14/02/2019,Private Sale,Literary & Archival Items,50000
24/06/2019,Private Sale,Literary & Archival Items,34400
23/10/2019,Private Sale,Purchase of Manuscripts,45000
10/12/2019,Private Sale,Collection of papers of an individual,125000
06/12/2019,PROQUEST,Purchase of 9 subscriptions 01/11/19-31/10/20,61638
15/01/2018,Proquest Information And Learn,Literary & Archival Items,42199
24/04/2017,Scottish Historic Buildings Trust,Lawnmarket Work,50057
26/09/2016,Senator International,Kelvin Hall,35706
21/03/2018,Site Sealants Ltd,Causewayside Refurbishment,27747
20/09/2018,SJS Property Services,George IV Bridge Work,44684.2
30/09/2018,SJS Property Services,George IV Bridge Work,51635.35
26/11/2018,SJS Property Services,George IV Bridge Work,66818.25
31/12/2018,SOFTCAT,IT equipment,37064.3
08/12/2016,Sothebys,Literary & Archival Items,166000
15/07/2016,Sothebys,Literary & Archival Items,28500
18/07/2018,Sothebys,Literary & Archival Items,41600
11/02/2020,Studio MB,Concept Design Semi-Permanent Exhibtion,27000
06/02/2020,Trustmarque,Miscrosoft Software Licenses,38069.66
14/11/2016,University Of Glasgow,Kelvin Hall,188682
10/06/2016,Wavetek Ltd,Kelvin Hall,87589
11/07/2016,Wavetek Ltd,Kelvin Hall,65692
31/03/2017,XMA Scotland Ltd,IT equipment,33450
31/03/2017,XMA Scotland Ltd,IT equipment,84524
23/08/2017,XMA Scotland Ltd,Kelvin Hall,31830
31/08/2018,XMA Scotland Ltd,IT equipment,313000
24/10/2018,XMA Scotland Ltd,IT equipment,35313.48
06/02/2020,XMA Scotland Ltd,Scality Ring Maintenance,68464.62
